date,ticker_symbol,close_price,dividend,trading_volume,daily_return,dividend_return,total_return
2005-03-11,VGK,25.7495059967041,0.0,25200,0.0,0.0,0.0
2005-03-14,VGK,25.724214553833008,0.0,26600,-0.0982210799474359,0.0,-0.0982210799474359
2005-03-15,VGK,25.648340225219727,0.0,34900,-0.2949529458110334,0.0,-0.2949529458110334
2005-03-16,VGK,25.547161102294922,0.0,9700,-0.3944860448525933,0.0,-0.3944860448525933
2005-03-17,VGK,25.547161102294922,0.0,12500,0.0,0.0,0.0
2005-03-18,VGK,25.395395278930664,0.0,9700,-0.5940614017994506,0.0,-0.5940614017994506
2005-03-21,VGK,25.21833038330078,0.0,20100,-0.6972322883148196,0.0,-0.6972322883148196
2005-03-22,VGK,24.980562210083008,0.0,25100,-0.9428386796582755,0.0,-0.9428386796582755
2005-03-23,VGK,24.81362533569336,0.0,7300,-0.6682670829652793,0.0,-0.6682670829652793
2005-03-24,VGK,24.91480255126953,0.0,18300,0.40774862281260926,0.0,0.40774862281260926
2005-03-28,VGK,24.86420249938965,0.0,121100,-0.20309232543889166,0.0,-0.20309232543889166
2005-03-29,VGK,24.86420249938965,0.0,3000,0.0,0.0,0.0
2005-03-30,VGK,25.03115463256836,0.0,12700,0.6714558135649362,0.0,0.6714558135649362
2005-03-31,VGK,24.91480255126953,0.0,12600,-0.4648290620498985,0.0,-0.4648290620498985
2005-04-01,VGK,24.737743377685547,0.0,54600,-0.7106585461379211,0.0,-0.7106585461379211
2005-04-04,VGK,24.81362533569336,0.0,6800,0.3067456754210607,0.0,0.3067456754210607
2005-04-05,VGK,24.849029541015625,0.0,18600,0.1426805025194655,0.0,0.1426805025194655
2005-04-06,VGK,25.046327590942383,0.0,87600,0.7939869426333068,0.0,0.7939869426333068
2005-04-07,VGK,25.142452239990234,0.0,58500,0.3837873983673967,0.0,0.3837873983673967
2005-04-08,VGK,25.117156982421875,0.0,79800,-0.10060775825250223,0.0,-0.10060775825250223
2005-04-11,VGK,25.38528060913086,0.0,59200,1.0674919414511264,0.0,1.0674919414511264
2005-04-12,VGK,25.390329360961914,0.0,21400,0.01988850117038421,0.0,0.01988850117038421
2005-04-13,VGK,24.96538543701172,0.0,123200,-1.6736447877811034,0.0,-1.6736447877811034
2005-04-14,VGK,24.788328170776367,0.0,61600,-0.7092110261308404,0.0,-0.7092110261308404
2005-04-15,VGK,24.626449584960938,0.0,61600,-0.6530435804310231,0.0,-0.6530435804310231
2005-04-18,VGK,24.63150978088379,0.0,15300,0.020547809400595085,0.0,0.020547809400595085
2005-04-19,VGK,24.86420249938965,0.0,20900,0.9446953133439129,0.0,0.9446953133439129
2005-04-20,VGK,24.51009178161621,0.0,13700,-1.424178868323367,0.0,-1.424178868323367
2005-04-21,VGK,24.86420249938965,0.0,15100,1.4447547603189337,0.0,1.4447547603189337
2005-04-22,VGK,24.661861419677734,0.0,60600,-0.8137847160667233,0.0,-0.8137847160667233
2005-04-25,VGK,24.859153747558594,0.0,5800,0.7999896055025157,0.0,0.7999896055025157
2005-04-26,VGK,24.611268997192383,0.0,22400,-0.9971568335891412,0.0,-0.9971568335891412
2005-04-27,VGK,24.484792709350586,0.0,6800,-0.5138958411946337,0.0,-0.5138958411946337
2005-04-28,VGK,24.12057113647461,0.0,8900,-1.487541990653174,0.0,-1.487541990653174
2005-04-29,VGK,24.37856674194336,0.0,12600,1.0696081946360403,0.0,1.0696081946360403
2005-05-02,VGK,24.383615493774414,0.0,23700,0.020709797604179236,0.0,0.020709797604179236
2005-05-03,VGK,24.535385131835938,0.0,156700,0.6224246691401092,0.0,0.6224246691401092
2005-05-04,VGK,24.935039520263672,0.0,63900,1.6288898106969762,0.0,1.6288898106969762
2005-05-05,VGK,24.833860397338867,0.0,88900,-0.40577085447400796,0.0,-0.40577085447400796
2005-05-06,VGK,24.646686553955078,0.0,6500,-0.7537041780417142,0.0,-0.7537041780417142
2005-05-09,VGK,24.838916778564453,0.0,52700,0.7799434791713411,0.0,0.7799434791713411
2005-05-10,VGK,24.408912658691406,0.0,7100,-1.7311709834469613,0.0,-1.7311709834469613
2005-05-11,VGK,24.57586669921875,0.0,21600,0.6839880287248024,0.0,0.6839880287248024
2005-05-12,VGK,24.282442092895508,0.0,35700,-1.1939542556705485,0.0,-1.1939542556705485
2005-05-13,VGK,24.201505661010742,0.0,8600,-0.33331257035488226,0.0,-0.33331257035488226
2005-05-16,VGK,24.272327423095703,0.0,3100,0.2926337025346948,0.0,0.2926337025346948
2005-05-17,VGK,24.37856674194336,0.0,10400,0.4376972879270191,0.0,0.4376972879270191
2005-05-18,VGK,24.737743377685547,0.0,31100,1.4733295830891668,0.0,1.4733295830891668
2005-05-19,VGK,24.70738983154297,0.0,3100,-0.12270135427938644,0.0,-0.12270135427938644
2005-05-20,VGK,24.63656234741211,0.0,15600,-0.2866651824161348,0.0,-0.2866651824161348
2005-05-23,VGK,24.838916778564453,0.0,24100,0.8213582248158158,0.0,0.8213582248158158
2005-05-24,VGK,24.661861419677734,0.0,86800,-0.7128143327067904,0.0,-0.7128143327067904
2005-05-25,VGK,24.661861419677734,0.0,29800,0.0,0.0,0.0
2005-05-26,VGK,24.737743377685547,0.0,5300,0.30768949965498393,0.0,0.30768949965498393
2005-05-27,VGK,24.788328170776367,0.0,9900,0.20448426648507212,0.0,0.20448426648507212
2005-05-31,VGK,24.44432258605957,0.0,42800,-1.3877724320366047,0.0,-1.3877724320366047
2005-06-01,VGK,24.535385131835938,0.0,270700,0.3725304534653029,0.0,0.3725304534653029
2005-06-02,VGK,24.74786376953125,0.0,11400,0.8660089766417078,0.0,0.8660089766417078
2005-06-03,VGK,24.535385131835938,0.0,11900,-0.858573651746497,0.0,-0.858573651746497
2005-06-06,VGK,24.68716049194336,0.0,8200,0.6185978304065198,0.0,0.6185978304065198
2005-06-07,VGK,24.763036727905273,0.0,57700,0.3073510053401174,0.0,0.3073510053401174
2005-06-08,VGK,24.71245574951172,0.0,18800,-0.20425999827620167,0.0,-0.20425999827620167
